path,before_sha256,after_sha256,identical
analysis_metadata.json,0dacb814a04306cc8eb26950646a62af66b50bf23a8eb453cad470211eae2699,0dacb814a04306cc8eb26950646a62af66b50bf23a8eb453cad470211eae2699,True
analysis_summary.md,78fe958736ca85680d51060e80607cd8d22d6763bc5a69c5d95c11a6a7751b73,78fe958736ca85680d51060e80607cd8d22d6763bc5a69c5d95c11a6a7751b73,True
figure_market_connectivity_event_study.png,3bbfd0737245975bad5dde2e5336604f821869a6d9412efcf4c94b32f9afa9a2,3bbfd0737245975bad5dde2e5336604f821869a6d9412efcf4c94b32f9afa9a2,True
frozen_market_connectivity_profile.csv,8e2de075bc5279ec1c6d97851d28d8beec950af39156c04ed779d2caa02f6e1e,8e2de075bc5279ec1c6d97851d28d8beec950af39156c04ed779d2caa02f6e1e,True
market_access_measure_coverage.csv,f6e65e69ff51da0f1d8684165231a0fa09d2e753f8349f0ff4a17f4cdc775583,f6e65e69ff51da0f1d8684165231a0fa09d2e753f8349f0ff4a17f4cdc775583,True
market_access_pre_shock_constructs.csv,32d63188f1d36f898810aed6b73449dd6305c4a7620074c060aa1222fc57ee12,32d63188f1d36f898810aed6b73449dd6305c4a7620074c060aa1222fc57ee12,True
market_connectivity_alternative_diversification.csv,0e2f6b947d1eadff7383e8b1cc10f05fc478f183751346fa89dbc58baf117b8c,0e2f6b947d1eadff7383e8b1cc10f05fc478f183751346fa89dbc58baf117b8c,True
market_connectivity_event_study_coefficients.csv,0a963e058666d7a1572721c438ff349ad1c86e92be94d5732556378d81f19031,0a963e058666d7a1572721c438ff349ad1c86e92be94d5732556378d81f19031,True
market_connectivity_event_study_joint_tests.csv,d2cd8bdf072e60f0c3bac4deefccfd882c236f5d9ebed89830146fa54cb15294,d2cd8bdf072e60f0c3bac4deefccfd882c236f5d9ebed89830146fa54cb15294,True
market_connectivity_holdout_summary.csv,a5a7942fb5146c7a60a99896a8c1cacd7891fba81aba2533a2685f740dd2feb5,a5a7942fb5146c7a60a99896a8c1cacd7891fba81aba2533a2685f740dd2feb5,True
market_connectivity_holdout_validation.csv,49aebc458085c9c6a9f5c3c6de48baf6f24ba3cc96938f9162270ed6324e7c01,49aebc458085c9c6a9f5c3c6de48baf6f24ba3cc96938f9162270ed6324e7c01,True
market_connectivity_industrial_trade_omnibus.csv,447e1d63530811c55a498cbf588a9a9291be419254a59fb62c6138602919aca9,447e1d63530811c55a498cbf588a9a9291be419254a59fb62c6138602919aca9,True
market_connectivity_leave_one_country_out.csv,2c5c3127d0cea8d0d77569c97dc08e8026342f8ee44b88ef3f7f33ca7976637b,2c5c3127d0cea8d0d77569c97dc08e8026342f8ee44b88ef3f7f33ca7976637b,True
market_connectivity_leave_one_country_summary.csv,4b488bb64e86b7843e76a62255c9b4d19b9c00c3334dfa229d97ab315349ad87,4b488bb64e86b7843e76a62255c9b4d19b9c00c3334dfa229d97ab315349ad87,True
market_connectivity_leave_one_region_out.csv,d380b5800cd17f29a18602366d4a0f408abacbf9d06a4261a4b9f6171d58b0f9,d380b5800cd17f29a18602366d4a0f408abacbf9d06a4261a4b9f6171d58b0f9,True
market_connectivity_leave_one_region_summary.csv,6e1161ae96769cfe4591f8ea0a01c14b2ffb445e50f3d347cd1c6aa9b7e26fb3,6e1161ae96769cfe4591f8ea0a01c14b2ffb445e50f3d347cd1c6aa9b7e26fb3,True
market_connectivity_market_access_robustness.csv,59a190c27884e7747dde982645f802828ed480724535f37db7df04c99a33866f,59a190c27884e7747dde982645f802828ed480724535f37db7df04c99a33866f,True
market_connectivity_mechanism_tests.csv,171fb3916d8373691b86178971296a7c4151cbd4d7fc0da9b314ab27880d59e8,171fb3916d8373691b86178971296a7c4151cbd4d7fc0da9b314ab27880d59e8,True
market_connectivity_multiplicity_family.csv,ccf4f3e2594014f23947ae3032cb22167918ede0f54b5bf05612055dfcd8d304,ccf4f3e2594014f23947ae3032cb22167918ede0f54b5bf05612055dfcd8d304,True
market_connectivity_primary_test.csv,6b54aad3f35cf8bf2fddf87a6130ffcc2b7149350756d44f51d26cc144b3422d,6b54aad3f35cf8bf2fddf87a6130ffcc2b7149350756d44f51d26cc144b3422d,True
multiplicity_family_definition.md,c3b0c70c844d9861481ffe1d9e0a8d9522d20584baed3cbc582b7c07ebac01c4,c3b0c70c844d9861481ffe1d9e0a8d9522d20584baed3cbc582b7c07ebac01c4,True
README.md,78fe958736ca85680d51060e80607cd8d22d6763bc5a69c5d95c11a6a7751b73,78fe958736ca85680d51060e80607cd8d22d6763bc5a69c5d95c11a6a7751b73,True
