estimate,se,tvalue,p_cluster,ci_low_95,ci_high_95,p_wild_bootstrap,bootstrap_reps_requested,bootstrap_reps_success,test_id,outcome_key,outcome,term,pvalue_for_fdr,n_obs,n_countries,n_years,moderator,family_component,test_type,moderators,wald_chi2,wald_df,moderator_label,design,incumbent_period,model_period,multiplicity_family,qvalue_market_connectivity_family,fdr_significant_0_05
0.024791001768477764,0.006397083222000698,3.8753602084176637,0.0001489890125487594,0.012168079977072154,0.03741392355988338,0.008,999,999,market_connectivity_primary_openness_interaction,diversification,Partner diversification excluding US and China,post_x_eci_x_exposure_x_openness,0.008,1991,181,11,openness,primary_trade_openness_interaction,,,,,,,,,market_connectivity_fixed_unique_family,0.0264,1
,,,1.5891543508244084e-06,,,0.007,999,999,market_connectivity_industrial_trade_structure_omnibus,diversification,Partner diversification excluding US and China,,0.007,1870,170,11,,industrial_trade_structure_omnibus,joint_wald_omnibus,openness;manufacturing;export_concentration,29.70868362778898,3.0,,,,,market_connectivity_fixed_unique_family,0.0264,1
-0.1901561717913363,0.4922913925398176,-0.3862675128449582,0.69975475345155,-1.1615607214837178,0.7812483779010451,0.696,999,999,market_connectivity_conditional_destination_mechanism_new_destination_entry,new_destination_entry,New non-US/China destination entry count,post_x_eci_x_exposure_x_openness,0.696,1991,181,11,openness,extensive_destination_mechanism,,,,,Pre-shock trade openness,,,,market_connectivity_fixed_unique_family,0.7778181818181817,0
-0.0007543368627688,0.0020254580074749,-0.3724277965699353,0.7100124901259184,-0.0047510330339555,0.0032423593084178,0.713,999,999,market_connectivity_conditional_destination_mechanism_new_destination_export_share,new_destination_export_share,Export share through new non-US/China destinations,post_x_eci_x_exposure_x_openness,0.713,1991,181,11,openness,extensive_destination_mechanism,,,,,Pre-shock trade openness,,,,market_connectivity_fixed_unique_family,0.7778181818181817,0
-0.0037389503027049,0.4944456218944246,-0.007561903952915,0.9939749053643788,-0.9793942917575624,0.9719163911521526,0.993,999,999,market_connectivity_conditional_destination_mechanism_persistent_destination_entry,persistent_destination_entry,Persistent new non-US/China destination count,post_x_eci_x_exposure_x_openness,0.993,1810,181,10,openness,extensive_destination_mechanism,,,,,Pre-shock trade openness,,,,market_connectivity_fixed_unique_family,0.993,0
0.0697478137182509,0.0173418157590103,4.021944108246681,8.48363569813966e-05,0.0355284083345439,0.1039672191019579,0.011,999,999,market_connectivity_alternative_diversification_destination_entropy,destination_entropy,Destination entropy excluding US and China,post_x_eci_x_exposure_x_openness,0.011,1991,181,11,openness,alternative_diversification_measure,,,,,Pre-shock trade openness,,,,market_connectivity_fixed_unique_family,0.0264,1
0.0420791893420908,0.1207134505785673,0.3485874120937604,0.7278064626457963,-0.1961163120988619,0.2802746907830437,0.695,999,999,market_connectivity_alternative_diversification_effective_destinations,effective_destinations,Effective number of destinations excluding US and China,post_x_eci_x_exposure_x_openness,0.695,1991,181,11,openness,alternative_diversification_measure,,,,,Pre-shock trade openness,,,,market_connectivity_fixed_unique_family,0.7778181818181817,0
0.021397942292195816,0.004376510108343605,4.889270620305817,2.2323991795430448e-06,0.012762077648928026,0.030033806935463606,0.003,999,999,intensive_primary_2015_2022_incumbent_diversification,incumbent_diversification,Incumbent-partner diversification,post_x_eci_x_exposure_x_openness,0.003,1448,181,8,openness,intensive_margin_outcome,,,,,,primary_2015_2022,2015-2017,2015-2022,market_connectivity_fixed_unique_family,0.0264,1
0.06715099893963092,0.016860108980535284,3.982833030151563,9.874061289560287e-05,0.033882112218893326,0.10041988566036851,0.01,999,999,intensive_primary_2015_2022_incumbent_entropy,incumbent_entropy,Incumbent-partner entropy,post_x_eci_x_exposure_x_openness,0.01,1448,181,8,openness,intensive_margin_outcome,,,,,,primary_2015_2022,2015-2017,2015-2022,market_connectivity_fixed_unique_family,0.0264,1
-0.013860399402405639,0.010747237085108725,-1.289670944508192,0.1988195208187115,-0.03506717888159977,0.007346380076788488,0.377,999,999,intensive_primary_2015_2022_portfolio_reallocation,portfolio_reallocation,Relationship-portfolio reallocation,post_x_eci_x_exposure_x_openness,0.377,1448,181,8,openness,intensive_margin_outcome,,,,,,primary_2015_2022,2015-2017,2015-2022,market_connectivity_fixed_unique_family,0.5655,0
-0.004914575419714675,0.004527377543380114,-1.0855236552782566,0.27914145484349007,-0.01384813633599425,0.0040189854965648995,0.33,999,999,intensive_primary_2015_2022_incumbent_retention,incumbent_retention,Incumbent destination retention,post_x_eci_x_exposure_x_openness,0.33,1448,181,8,openness,intensive_margin_outcome,,,,,,primary_2015_2022,2015-2017,2015-2022,market_connectivity_fixed_unique_family,0.5655,0
-0.01265254561508469,0.006565261718444441,-1.9271959226756548,0.055529808337840575,-0.025607322399450922,0.00030223116928154367,0.078,999,999,intensive_primary_2015_2022_continuing_export_share,continuing_export_share,Continuing export share,post_x_eci_x_exposure_x_openness,0.078,1448,181,8,openness,intensive_margin_outcome,,,,,,primary_2015_2022,2015-2017,2015-2022,market_connectivity_fixed_unique_family,0.156,0
