estimate,se,tvalue,p_cluster,ci_low_95,ci_high_95,p_wild_bootstrap,bootstrap_reps_requested,bootstrap_reps_success,test_id,hypothesis,outcome,test_type,expected_direction,alternative,pvalue_for_fdr,n_obs,n_countries,n_years,within_r2,inference,outcome_key,model,focal_term,focal_label,qvalue_bh_full_structural_family,fdr_significant_0_05
0.2170985567980008,0.2327286744799344,0.932839742602147,0.3538186363947211,-0.246323439193081,0.6805205527890827,,0,0,adjustment_A_FE_gvc_eci_exposure_post,Progressive confounding adjustment,Adverse forward-GVC deviation stability,coefficient,two-sided,two-sided,0.3538186363947211,858,78,11,0.0336165291428862,country_clustered,gvc,A_FE,eci_exposure_post,ECI x exposure x post,0.789415883135952,0
0.1795943393331479,0.1661225228292317,1.081095665262469,0.2830289230983141,-0.1511978644235669,0.5103865430898629,,0,0,adjustment_A_FE_gvc_eci_exposure_post_x_moderator,Progressive confounding adjustment,Adverse forward-GVC deviation stability,coefficient,two-sided,two-sided,0.2830289230983141,858,78,11,0.0336165291428862,country_clustered,gvc,A_FE,eci_exposure_post_x_moderator,ECI x exposure x post x COI,0.789415883135952,0
0.0575794081200557,0.3107282732607466,0.1853046956938423,0.8535110747088117,-0.561846083756997,0.6770048999971086,,0,0,adjustment_B_structural_x_year_gvc_eci_exposure_post,Progressive confounding adjustment,Adverse forward-GVC deviation stability,coefficient,two-sided,two-sided,0.8535110747088117,803,73,11,0.2226388818821144,country_clustered,gvc,B_structural_x_year,eci_exposure_post,ECI x exposure x post,0.8851225959943233,0
0.2164022405595258,0.2519212039188883,0.8590076468084894,0.3931872115849786,-0.2857935011223739,0.7185979822414256,,0,0,adjustment_B_structural_x_year_gvc_eci_exposure_post_x_moderator,Progressive confounding adjustment,Adverse forward-GVC deviation stability,coefficient,two-sided,two-sided,0.3931872115849786,803,73,11,0.2226388818821144,country_clustered,gvc,B_structural_x_year,eci_exposure_post_x_moderator,ECI x exposure x post x COI,0.789415883135952,0
0.2071991751204098,0.2302867594415925,0.8997441955535513,0.3710616795528019,-0.2513603468174087,0.6657586970582284,,0,0,adjustment_C_region_x_year_gvc_eci_exposure_post,Progressive confounding adjustment,Adverse forward-GVC deviation stability,coefficient,two-sided,two-sided,0.3710616795528019,858,78,11,0.0978870850764104,country_clustered,gvc,C_region_x_year,eci_exposure_post,ECI x exposure x post,0.789415883135952,0
0.1898086509618218,0.1658409039346975,1.1445225300783572,0.2559522975694943,-0.1404227779333274,0.5200400798569711,,0,0,adjustment_C_region_x_year_gvc_eci_exposure_post_x_moderator,Progressive confounding adjustment,Adverse forward-GVC deviation stability,coefficient,two-sided,two-sided,0.2559522975694943,858,78,11,0.0978870850764104,country_clustered,gvc,C_region_x_year,eci_exposure_post_x_moderator,ECI x exposure x post x COI,0.789415883135952,0
0.2957903975011279,0.2384952307056234,1.240236111330144,0.2186541336286213,-0.1791142789206115,0.7706950739228673,,0,0,adjustment_D_country_trends_gvc_eci_exposure_post,Progressive confounding adjustment,Adverse forward-GVC deviation stability,coefficient,two-sided,two-sided,0.2186541336286213,858,78,11,0.2401082644672288,country_clustered,gvc,D_country_trends,eci_exposure_post,ECI x exposure x post,0.789415883135952,0
-0.3583869237415542,0.2235289753481033,-1.603313052294163,0.1129599610970086,-0.8034899784001268,0.0867161309170183,,0,0,adjustment_D_country_trends_gvc_eci_exposure_post_x_moderator,Progressive confounding adjustment,Adverse forward-GVC deviation stability,coefficient,two-sided,two-sided,0.1129599610970086,858,78,11,0.2401082644672288,country_clustered,gvc,D_country_trends,eci_exposure_post_x_moderator,ECI x exposure x post x COI,0.78,0
0.0739603513611357,0.2519294022596973,0.2935757029459188,0.7699267199555415,-0.428251733414474,0.5761724361367455,,0,0,adjustment_E_gps_overlap_gvc_eci_exposure_post,Progressive confounding adjustment,Adverse forward-GVC deviation stability,coefficient,two-sided,two-sided,0.7699267199555415,803,73,11,0.011535489333786,country_clustered,gvc,E_gps_overlap,eci_exposure_post,ECI x exposure x post,0.8623179263502064,0
0.1221547005274844,0.2143274145132464,0.5699443573511439,0.5704896119506571,-0.3050991916415092,0.5494085926964781,,0,0,adjustment_E_gps_overlap_gvc_eci_exposure_post_x_moderator,Progressive confounding adjustment,Adverse forward-GVC deviation stability,coefficient,two-sided,two-sided,0.5704896119506571,803,73,11,0.011535489333786,country_clustered,gvc,E_gps_overlap,eci_exposure_post_x_moderator,ECI x exposure x post x COI,0.789415883135952,0
