spec,hypothesis_id,dv,outcome_col,term,coef,se,p_cluster,n_obs,n_countries,year_min,year_max,covid_contamination_coef,covid_contamination_p
baseline_full,H4,DV1_GVC_Linkage_Stability,gvc_linkage_stability,z_eci:pe:z_coi,0.46771160889722435,0.11558452577669438,5.199138080368146e-05,679,76,2013,2021,,
baseline_full,H5,DV1_GVC_Linkage_Stability,gvc_linkage_stability,z_eci:pe:z_gpr,-0.4069021413725356,0.13804387880249824,0.003202211088281513,679,76,2013,2021,,
baseline_full,H4,DV2_Export_Recovery,export_recovery_index,z_eci:pe:z_coi,0.13957066306117497,0.09937605518421785,0.1601790143559284,1729,180,2012,2021,,
baseline_full,H5,DV2_Export_Recovery,export_recovery_index,z_eci:pe:z_gpr,-0.041697521621596866,0.0980169439134856,0.6705368246604497,1729,180,2012,2021,,
baseline_full,H4,DV3_Partner_Diversification,partner_diversification_1_minus_hhi,z_eci:pe:z_coi,-0.005607075350838643,0.01239940574149878,0.651121185807439,1729,180,2012,2021,,
baseline_full,H5,DV3_Partner_Diversification,partner_diversification_1_minus_hhi,z_eci:pe:z_gpr,-0.007716143553119952,0.010475625439565182,0.46137737334259377,1729,180,2012,2021,,
exclude_2020,H4,DV1_GVC_Linkage_Stability,gvc_linkage_stability,z_eci:pe:z_coi,0.30342659612081013,0.12384406757851292,0.01428285682083912,604,76,2013,2021,,
exclude_2020,H5,DV1_GVC_Linkage_Stability,gvc_linkage_stability,z_eci:pe:z_gpr,-0.18745620200515947,0.14139518595567435,0.18491892441728242,604,76,2013,2021,,
exclude_2020,H4,DV2_Export_Recovery,export_recovery_index,z_eci:pe:z_coi,0.1177864001385769,0.1089138091891979,0.2794906175030557,1554,180,2012,2021,,
exclude_2020,H5,DV2_Export_Recovery,export_recovery_index,z_eci:pe:z_gpr,-0.035041837884263426,0.1143419636097466,0.7592504380848568,1554,180,2012,2021,,
exclude_2020,H4,DV3_Partner_Diversification,partner_diversification_1_minus_hhi,z_eci:pe:z_coi,-0.003054574188735407,0.01196757526958767,0.7985396565258898,1554,180,2012,2021,,
exclude_2020,H5,DV3_Partner_Diversification,partner_diversification_1_minus_hhi,z_eci:pe:z_gpr,-0.006648451265500268,0.010290530761022718,0.5182309987071926,1554,180,2012,2021,,
exclude_2020_2021,H4,DV1_GVC_Linkage_Stability,gvc_linkage_stability,z_eci:pe:z_coi,0.16567656942991435,0.2032100110563683,0.4149021649354948,529,76,2013,2019,,
exclude_2020_2021,H5,DV1_GVC_Linkage_Stability,gvc_linkage_stability,z_eci:pe:z_gpr,0.048001662942181715,0.17688806779440586,0.7861084383361235,529,76,2013,2019,,
exclude_2020_2021,H4,DV2_Export_Recovery,export_recovery_index,z_eci:pe:z_coi,0.1191771637373649,0.05381396463400017,0.02678656481143901,1385,179,2012,2019,,
exclude_2020_2021,H5,DV2_Export_Recovery,export_recovery_index,z_eci:pe:z_gpr,-0.10101335333909764,0.055169965887955856,0.06710826531671482,1385,179,2012,2019,,
exclude_2020_2021,H4,DV3_Partner_Diversification,partner_diversification_1_minus_hhi,z_eci:pe:z_coi,0.001948912568581276,0.012618823490852846,0.8772589759693996,1385,179,2012,2019,,
exclude_2020_2021,H5,DV3_Partner_Diversification,partner_diversification_1_minus_hhi,z_eci:pe:z_gpr,-0.007897024092453474,0.00911682331080713,0.38637858446342144,1385,179,2012,2019,,
covid_interaction_check,H4,DV1_GVC_Linkage_Stability,gvc_linkage_stability,z_eci:pe:z_coi,0.46115293094805027,0.11717646796430235,8.300908647560014e-05,679,76,2013,2021,-0.23242912606930025,0.3757109095942295
covid_interaction_check,H5,DV1_GVC_Linkage_Stability,gvc_linkage_stability,z_eci:pe:z_gpr,-0.4263201451234364,0.13374558453439928,0.0014348584739659785,679,76,2013,2021,-0.22926429055383943,0.39265592949547634
covid_interaction_check,H4,DV2_Export_Recovery,export_recovery_index,z_eci:pe:z_coi,0.1396210405040335,0.09933451277880498,0.15985355641799615,1729,180,2012,2021,0.01837409417832161,0.7778921918083452
covid_interaction_check,H5,DV2_Export_Recovery,export_recovery_index,z_eci:pe:z_gpr,-0.052462373846181284,0.09720464435179338,0.5893966505364772,1729,180,2012,2021,-0.004351968425578442,0.953143175287126
covid_interaction_check,H4,DV3_Partner_Diversification,partner_diversification_1_minus_hhi,z_eci:pe:z_coi,-0.005593385188308426,0.012373843044701488,0.651245221210069,1729,180,2012,2021,0.0031633994370126274,0.6773370915182992
covid_interaction_check,H5,DV3_Partner_Diversification,partner_diversification_1_minus_hhi,z_eci:pe:z_gpr,-0.008801580052392819,0.011235125941980006,0.43339317633379204,1729,180,2012,2021,0.001538411387449386,0.8681835563697404
